k,inertia,silhouette
2,4115.422202050025,0.35382583499775627
3,3586.228601712114,0.3146634903644267
4,3124.4585366644706,0.21428608868458515
5,2868.9746412075756,0.19138029641332466
6,2626.12079010624,0.19828764713335234
7,2444.4665463391675,0.21124382523815788
8,2271.403063265452,0.22240814371263912
